,Cities,Cloudiness,Humidity,Latitude,Temperature (F),Wind Speed
296,Skibbereen,75,81,51.55,51.8,28.86
297,Hauterive,90,62,46.09,57.13,11.41
298,Powiat d?bicki,40,87,50.0,55.4,3.36
299,Perigueux,90,82,45.18,57.11,9.17
300,Mwense,0,20,-10.38,90.92,7.2
301,Talnakh,80,91,69.49,24.81,3.29
302,Vytegra,0,100,61.01,34.89,16.6
303,Jaque,92,99,7.52,74.22,2.17
304,Cacoal,64,83,-11.44,83.58,2.95
305,Qiryat Gat,20,64,31.61,75.2,9.17
306,Harur,68,89,12.07,77.42,3.29
307,Bathsheba,40,70,13.22,87.8,25.28
308,Weligama,100,93,5.97,80.43,8.66
309,Bensonville,75,74,6.45,87.8,13.87
310,Tqvarcheli,0,96,42.84,63.51,2.73
311,Senanga,8,25,-16.12,94.02,13.02
312,Tema,20,79,5.67,84.2,14.99
313,Koscierzyna,90,100,54.12,51.8,4.7
314,San Cristobal,40,48,7.77,87.8,20.8
315,Noormarkku,90,100,61.59,32.0,3.36
316,Kashi,0,27,39.45,53.6,8.95
317,Tsiroanomandidy,0,24,-18.77,79.98,8.77
318,Palm Beach,75,78,26.71,83.16,14.99
319,Bluffton,1,69,32.24,75.69,8.05
320,Cap Malheureux,75,73,-19.98,77.0,13.87
321,Ostrovnoy,88,95,68.05,31.7,16.26
322,Aasiaat,80,100,68.71,30.03,0.94
323,Eydhafushi,36,100,5.1,82.82,17.05
324,Lowestoft,40,62,52.48,57.88,25.28
325,Arlit,0,15,18.74,95.73,7.43
326,Paso de los Toros,90,77,-32.82,66.2,16.11
327,Klenovyy,92,96,48.12,47.04,7.99
328,Luanda,20,74,-8.84,80.6,12.75
329,Malatya,0,47,38.5,55.4,5.82
330,Gubkinskiy,88,97,64.43,33.09,7.65
331,Codrington,92,98,-38.27,54.69,12.8
332,Maunabo,40,66,18.01,85.95,16.11
333,Bay Saint Louis,40,83,30.31,76.12,5.82
334,Zapolyarnyy,88,96,69.42,35.6,6.93
335,La Primavera,80,98,5.49,78.63,8.88
336,New Glasgow,0,67,45.58,51.23,14.36
337,Balkanabat,0,83,39.51,53.75,3.18
338,Mehamn,80,100,71.04,35.07,7.76
339,Guiratinga,88,30,-16.35,97.53,7.65
340,Margate,40,58,51.38,57.2,28.86
341,Toktogul,20,80,41.87,25.44,0.94
342,Quatre Cocos,75,73,-20.21,77.0,13.87
343,Povenets,68,100,62.85,32.55,12.8
344,Kavaratti,20,100,10.57,81.42,6.08
345,Tutin,8,34,42.99,65.27,2.17
346,Namanga,64,42,-2.54,77.42,8.88
347,Kudahuvadhoo,68,100,2.67,82.55,10.11
348,Kuntaur,0,59,13.67,95.91,5.64
349,Ondjiva,0,16,-17.07,97.71,12.01
350,Bella Vista,75,69,36.43,71.58,16.11
351,Clermont,20,54,28.55,81.59,11.68
352,Bria,0,56,6.54,87.63,7.54
353,Stavern,90,100,59.0,46.54,8.05
354,Paranhos,48,83,-23.89,81.69,8.66
355,Manoel Urbano,12,69,-8.84,82.37,3.85
356,Horta,40,68,38.53,69.8,17.22
357,Argir,92,100,62.0,51.8,21.92
358,Molina,0,66,-35.12,55.4,10.29
359,Pelym,68,64,61.01,29.4,6.98
360,Salamanca,0,44,40.97,59.0,12.75
361,Verkh-Suetka,24,94,53.3,40.43,8.1
362,Beloha,12,56,-25.17,79.13,14.03
363,Puerto del Rosario,40,73,28.5,77.99,16.11
364,Namibe,0,100,-15.2,71.7,9.78
365,General Roca,0,29,-39.03,60.8,8.05
366,Abha,20,64,18.22,73.49,6.93
367,Bindura,76,26,-17.3,85.25,13.02
368,Gaffney,1,45,35.07,67.8,3.51
369,Hualmay,0,72,-11.1,70.62,3.62
370,Kokstad,0,70,-30.55,63.87,3.18
371,Sira,24,75,13.75,72.51,4.63
372,Gayny,64,70,60.31,28.32,9.55
373,Port Victoria,8,97,-34.5,54.6,11.45
374,Sur,0,86,22.57,87.05,8.32
375,Taltal,0,71,-25.4,69.81,1.83
376,Candido Mendes,0,85,-1.45,84.84,22.64
377,Horki,80,87,54.29,39.39,3.96
378,Olbia,20,60,40.92,75.2,8.05
379,Bonthe,20,74,7.53,87.5,2.95
380,Tshela,8,67,-4.98,85.74,5.41
381,Mindelo,0,88,16.89,81.33,11.56
382,Armacao de Buzios,40,62,-22.75,86.0,9.17
383,Camana,36,100,-16.62,60.68,6.08
384,Quelimane,20,74,-17.88,82.4,18.34
385,Ilo,12,93,-17.64,62.43,3.96
386,Kasongo-Lunda,36,79,-6.47,80.52,1.95
387,Yarmouth,1,48,41.71,66.0,6.93
388,Calceta,40,74,-0.85,78.8,10.29
389,Itambe,40,40,-15.24,86.0,10.29
390,Akhmim,0,36,26.56,78.63,7.31
391,Konotop,100,69,51.24,45.96,6.2
392,Ponta Delgada,75,52,37.73,69.8,13.87
393,Yarada,20,94,17.65,87.81,13.91
394,Breda,40,59,51.59,60.8,11.41
395,Fuerte Olimpo,12,61,-21.04,92.49,15.48
396,Richards Bay,88,82,-28.78,68.42,4.52
397,Nuqui,92,100,5.71,76.2,6.64
398,Monrovia,75,74,6.3,87.8,13.87
399,Berkak,24,55,62.83,45.47,9.55
400,Leon,5,72,21.12,64.4,3.18
401,Samora Correia,20,49,38.94,70.03,17.22
402,Ous,68,64,60.91,29.4,6.98
403,Pimenta Bueno,64,83,-11.67,83.58,2.95
404,Kralendijk,75,66,12.15,87.8,27.51
405,Harbour Breton,48,100,47.48,48.66,23.98
406,Daura,0,22,11.55,96.45,6.87
407,Sao Luiz Gonzaga,92,99,-28.41,69.27,11.45
408,Derzhavinsk,0,79,51.1,33.95,7.31
409,Igarka,92,91,67.47,29.18,14.47
410,Roald,0,54,62.58,57.2,12.75
411,Al Manaqil,0,16,14.25,97.53,3.4
412,Kontagora,8,54,10.4,92.72,6.76
413,Nuevitas,20,74,21.55,84.2,10.29
414,Baixo Guandu,0,39,-19.52,87.5,9.44
415,Saint-Michel-des-Saints,0,67,46.68,57.03,3.06
416,Pointe Michel,20,49,15.25,87.67,10.29
417,Kayes,0,42,14.44,98.3,6.87
418,Solapur,36,67,17.68,78.32,5.97
419,Kirkwall,40,93,58.98,54.37,17.22
420,Sao Joao da Barra,40,51,-21.64,86.0,9.17
421,Hobyo,8,86,5.35,79.62,11.12
422,Mao,20,78,39.89,71.6,8.05
423,Andenes,64,75,69.31,42.8,9.17
424,Janossomorja,75,93,47.79,54.48,5.82
425,Rizokarpaso,0,88,35.6,76.07,10.67
426,Veshchevo,20,80,60.73,35.6,5.82
427,Morondava,0,61,-20.28,86.73,7.99
428,Bage,80,96,-31.33,69.18,8.99
429,Havoysund,92,80,71.0,39.2,6.93
430,Mandera,8,85,3.94,78.45,4.41
431,Ferrol,40,67,43.48,59.0,9.17
432,Lerwick,92,87,60.15,52.7,32.21
433,Uvarovo,44,72,51.98,38.13,5.3
434,Bengkulu,80,100,-3.8,82.14,8.66
435,Divala,20,83,8.42,82.4,4.7
436,Domanivka,56,68,47.63,60.5,4.41
437,Scranton,1,58,41.41,64.06,3.36
438,Luangwa,0,16,-15.62,98.25,16.37
439,Rezina,68,74,47.75,61.17,5.75
440,Gilgit,8,34,35.92,39.75,1.16
441,Dingle,80,97,11.0,75.57,8.88
442,Barah,0,20,13.7,95.78,3.06
443,Manzanares,12,67,39.0,70.85,8.1
444,Marabba,20,22,12.35,98.48,3.74
445,Turkestan,0,68,43.33,48.62,3.62
446,Delmas,92,50,-26.15,75.2,10.29
447,Agapovka,90,68,53.3,24.8,6.71
448,Nizwa,0,27,22.93,79.89,5.41
449,Kalmunai,48,77,7.42,80.79,7.31
450,Toliara,0,51,-23.35,86.28,15.7
451,Lubango,8,28,-14.92,89.34,3.74
452,Banepa,40,88,27.63,66.2,3.36
453,Imbituva,32,78,-25.23,76.29,17.16
454,Gravdal,0,100,68.12,46.82,14.36
455,El Jicaro,68,71,14.92,72.69,1.95
456,Brae,92,87,60.4,52.57,32.21
457,Bumba,32,81,2.18,82.86,3.74
458,Ambilobe,0,45,-13.2,84.3,19.39
459,Kauniainen,20,100,60.21,33.8,4.7
460,Skjervoy,88,100,70.03,44.3,10.78
461,Cabo Rojo,5,62,18.09,86.94,17.22
462,Kem,56,100,64.96,36.15,12.35
463,Viedma,76,51,-40.81,55.77,15.26
464,Algiers,0,62,36.75,71.43,4.41
465,Chimbote,0,89,-9.09,65.49,4.63
466,Norton Shores,90,52,43.17,65.3,16.11
467,Zaruma,0,44,-3.68,82.37,3.4
468,Buarcos,20,59,40.17,66.2,17.22
469,Vilhena,0,66,-12.74,84.2,6.93
470,Vayk,40,40,39.69,53.6,2.24
471,Koukkuniemi,20,100,60.15,33.8,4.7
472,Minab,0,68,27.15,78.54,4.07
473,Sulzbach-Rosenberg,75,68,49.5,62.56,2.24
474,Nova Vicosa,68,78,-17.89,82.55,12.35
475,Gravatai,90,83,-29.94,71.6,6.93
476,Lieksa,92,88,63.32,31.92,7.54
477,Hadejia,0,20,12.45,97.98,8.21
478,Santa Maria,75,94,-29.68,69.8,8.05
479,Zhangaqorghan,44,71,43.91,47.9,3.4
480,Saint-Joseph,75,69,-21.37,77.0,14.99
481,Japura,8,89,-0.32,78.77,3.4
482,Santiago,0,39,-33.46,66.2,3.36
483,Estelle,40,78,29.85,78.49,6.93
484,Chicama,75,82,-7.84,64.4,10.29
485,Notse,24,76,6.95,88.13,1.39
486,Agadir,0,57,30.42,78.8,11.41
487,Tupaciguara,24,47,-18.59,89.97,3.51
488,Havelock,1,85,34.88,72.48,4.7
489,Cornélio Procópio,75,69,-23.18,77.0,1.12
490,Pithora,76,79,21.27,80.3,4.18
491,Marystown,88,91,47.17,48.66,20.29
492,Pedregulho,88,33,-20.26,88.08,12.8
493,Toumboudrané,0,19,15.21,102.48,11.68
494,Pitimbu,75,83,-7.47,80.6,14.99
495,Maputo,75,60,-25.97,73.4,4.7
496,Vallenar,0,65,-28.57,70.4,2.73
497,Novobirilyussy,0,97,56.95,36.65,7.76
498,San Ramon,1,87,37.78,47.03,2.39
499,Mishkino,68,59,55.34,29.0,8.77
